sku,title,price,caseQuantity,note
TS-001,Wireless Bluetooth Earbuds,29.99,12,High demand item
TS-002,Portable USB Power Bank,19.99,24,Top seller
TS-003,LED Desk Lamp,34.99,18,Available in black or white
TS-004,Ergonomic Laptop Stand,49.99,12,Fits 13-17 inch laptops
TS-005,Bluetooth Mechanical Keyboard,79.99,8,Red switches
TS-006,USB-C Docking Station,89.99,10,7-in-1 with HDMI 4K
TS-007,Noise Cancelling Headphones,129.99,6,30 hour battery life
TS-008,Wireless Mouse,14.99,36,Rechargeable lithium ion
TS-009,Webcam 1080p HD,39.99,20,Built-in microphone
TS-010,External SSD 512GB,69.99,16,USB 3.1 Gen 2
TS-011,Laptop Sleeve 15 inch,24.99,30,Water resistant neoprene
TS-012,Smart Speaker,59.99,14,Voice assistant compatible
TS-013,HDMI Cable 2m,9.99,50,4K 60Hz certified
TS-014,USB-C Cable 1m,7.99,60,100W PD support
TS-015,Monitor Stand Adjustable,44.99,12,Supports up to 32 inch
